,Unnamed: 0,date,time,name,username,state,tweet
30,30,2022-05-09,23:20:19,Elwood,elwood,Boston,@azurenikki @mattyglesias Abortions 20 weeks done largely reasons abortions before.
31,31,2022-05-09,23:19:19,The Bad Investments 🐢,thebdnvestments,Boston,Also life saving ectopic abortion cost $900 insurance
32,32,2022-05-09,23:18:51,Scrivello,scrivello,Boston,"@MarshaBlackburn “because Biden’s agenda inflated economy.” Whatever. Do support woman’s right make decision whether abortion? Take stand one way other, let women decide whether represent them."
33,33,2022-05-09,23:16:40,The Bad Investments 🐢,thebdnvestments,Boston,Dont like Democrats saying rich women still able get abortions. There’s swath grey area rich poor comes something life altering childbirth. I would get considerable debt avoid it.
34,34,2022-05-09,23:15:02,Wendy Murphy,wmurphylaw,Boston,@RachelBitecofer @ERAUSANOW Neither party supports #Women’s equality. @JoeBiden currently blocking #ERA &amp; fighting DC fed. court SAME WAY Trump did. We need Ntl ERA Voting Union; 1-issue party-ERA-that’s it. Better legal protections Women’s rights-including abortion-will follow
35,35,2022-05-09,23:14:33,Doc LoLiday,docloliday,Boston,This correct completely missed point. Forced-Birth Extremists care mother's life. It's ALL punishment. They view abortion murder women deserve die it. #RoeVWade https://t.co/pfsJjtU0en
36,36,2022-05-09,23:14:01,ChristmasRadio.com™,christmasradi0,Boston,"If unborn could vote, “liberal”politicians would pro-life, including “Catholic president”. Of course, unborn can’t vote (or donate cash), listen special interest groups provide campaign dollars. #roevwade #abortion #supremecourt"
37,37,2022-05-09,23:03:39,Elwood,elwood,Boston,"@reidatcheson @mattyglesias Except won’t get federal law, reasons Matt states. The Democrats absolutists this, vast majority Americans don’t support. A lot Democrats don’t even want completely unrestricted abortion."
38,38,2022-05-09,23:02:16,Elwood,elwood,Boston,"@Hanksingler @mattyglesias Those would allowed proposes. Also, that’s far reason people get later term abortions. Maybe read write."
39,39,2022-05-09,23:00:05,SHIBWASABI,shibwasabi,Boston,"@ManWithNoName_ @BTplus8Numbers @ksorbs The name game democrats sold America competitors foreign power. And abortion maintains real population crisis. Men like Musk know key America’s success, key success capitalism booming population."
40,40,2022-05-09,22:59:56,Elwood,elwood,Boston,"@policy_h @AlexandraErin @mattyglesias You clearly haven’t actually read anything actuality late term abortions. Abortions 20 weeks reasons before, part. Even third trimester abortions sometimes late discovered baby would Downs."
41,41,2022-05-09,22:57:31,SHIBWASABI,shibwasabi,Boston,@BTplus8Numbers @ksorbs You can’t ask abortions feel abortion … they’re red slime waste bin. As long momma lives ride again.
42,42,2022-05-09,22:55:00,IG: Shmoney_pop,gshilv,Boston,"My hospital sent email today regards abortion law, sums basically saying matter government chooses - Massachusetts law still &amp; even stopped - hospital saved enough money handle it. 👏🏾"
43,43,2022-05-09,22:53:36,"Lady Jasmine, HRH",hrh_ladyj,Boston,@BaddCompani Also republican spring... If EVER needed reminder Keep abortion legal... It's fear giving birth idiots! https://t.co/HC3oPDnkBz
44,44,2022-05-09,22:53:36,Francesca Puzo,francescapuzo,Boston,"@carolinnewport @joncoopertweets @katherineOma Oh, I'm sure. As folks pretty thankful there's national ban abortion."
45,45,2022-05-09,22:53:13,Elwood,elwood,Boston,"@azurenikki @mattyglesias Provably false, I agree vast vast majority late term abortions would emergencies."
46,46,2022-05-09,22:51:44,Sue,sue21222633,Boston,"@TuckerCarlson It's funny trigger laws abortion different every state. Instead protesting states reasonable trigger laws churches, focusing states like Louisiana, Michigan, Missouri."
47,47,2022-05-09,22:49:53,Elwood,elwood,Boston,"@JimmyG303 @mattyglesias @neeratanden Sure, bodily autonomy baby late term elective abortion?"
48,48,2022-05-09,22:49:37,DEMETRIOS KRITIKOS,demetriossp,Boston,"Abortion Rights Activists Protest Outside Conservative Supreme Court Justices' Homes , details : https://t.co/toCwCrkSZy"
49,49,2022-05-09,22:47:47,Elwood,elwood,Boston,@beekaayy @mattyglesias What think matter doesn’t matter. And majority people Democracy don’t think unrestricted abortion right.
50,50,2022-05-09,22:46:40,Elwood,elwood,Boston,"@ButlandFreeman @mattyglesias Maybe point, supporting 1st trimester abortions overturning Roe pretty much position. That’s numbers close."
51,51,2022-05-09,22:40:51,Elwood,elwood,Boston,"@aaemdkl @MollyJongFast @mattyglesias Actually, women less supportive abortion men. Fun fact!"
52,52,2022-05-09,22:39:11,Elwood,elwood,Boston,"@mattyglesias @kimmaicutler Out curiosity, would favor completely unrestricted abortion?"
53,53,2022-05-09,22:36:14,NBC10 Boston,nbc10boston,Boston,Abortion Rights Activists Protest Outside Conservative Supreme Court Justices' Homes https://t.co/fvorh93IEN
54,54,2022-05-09,22:35:44,BoricuaEnBoston🏴🟥,boricuaenboston,Boston,"@PramilaJayapal The rest Democrats weak, won’t it. You know Republicans first moment senate majority White House? Carve filibuster exception make abortion illegal nation wide."
55,55,2022-05-09,22:26:49,Alejandra Caraballo 🏳️‍⚧️🇵🇷,esqueer_,Boston,The idea crypto technology save abortion rights myopic terribly misinformed. I wish case need stop believing crypto grifters NFT bubble hilariously bursting dramatic fashion.
56,56,2022-05-09,22:26:49,Alejandra Caraballo 🏳️‍⚧️🇵🇷,esqueer_,Boston,Think it. Crypto around 13 years still can't serve basic function making anonymous transaction pay abortion clinic. It's lack adoption that's issue.
57,57,2022-05-09,22:26:48,Siobhan,sbrady1231,Boston,@ResisterSis20 This he’s elected bc cares wealthy donors &amp; Russia. How much paid anti-abortion judges appointed? Why wasn’t election investigated. Amy McGrath cares Kentucky. He &amp; wife investigated. They see $ @POTUS
58,58,2022-05-09,22:26:48,Alejandra Caraballo 🏳️‍⚧️🇵🇷,esqueer_,Boston,Crypto slightly useless making payments abortion clinics. You still need interface USD crypto leaves digital trail. Exchanges could easily subpoenaed complex blockchain analysis tools could track individual transactions.
59,59,2022-05-09,22:26:48,Alejandra Caraballo 🏳️‍⚧️🇵🇷,esqueer_,Boston,"Vulnerabilities bad faith actors could easily compromise DAOs focused funding abortion care cause fail. Beyond that, post-Roe, states could begin criminally charging members DAO funding abortions aiding abetting abortion even ""homicide."""
60,60,2022-05-09,22:26:47,Alejandra Caraballo 🏳️‍⚧️🇵🇷,esqueer_,Boston,"These crypto grifters going vulnerable people trying preserve abortion rights. The fatal flaw this, even worked, (it doesn't) women seeking abortions time research DAO access funds travel state."
61,61,2022-05-09,22:25:10,#NoNewWomensPrison #FreeMissAngie,erykahreina,Boston,Walmart Amazon Walgreens TMobile They donated millions anti-abortion politicians! Use conscious capitalism mindful spend money!
62,62,2022-05-09,22:23:28,Battle Chef Slugcat,zoupmachine,Boston,"@vdb132 @MsBlaireWhite For example, want example slippery slope: states banning abortions six weeks leads overturning RvW leads abortion bans period leads banning plan B leads regulating birth control."
63,63,2022-05-09,22:22:59,"Lady Jasmine, HRH",hrh_ladyj,Boston,"@JoyAnnReid Thank Joy!! The part seem missing, Roe even abortion, support it, fine, FORCED one.. that's difference, that's what's stake here, woman's rights bodily autonomy. It's THAT big! May14th folks"
64,64,2022-05-09,22:16:02,Alan Penzias,alanpenzias,Boston,"@louise_p_king sums nicely ""The vast majority people settled abortion option, contraception option, sex education available"" 2/4"
65,65,2022-05-09,22:15:59,Stephen Soldz,ethicalpsycholo,Boston,"When Republicans retake Washington, likely abolish filibuster enact national abortion ban. Some hope enact Constitutional amendment banning it. https://t.co/upca8Vk358 via @GoogleNews"
66,66,2022-05-09,22:10:16,Chris Ford,14letterscorp,Boston,@The_Real_Fly Where’s uproar? This abortion theatre distraction corruption.
67,67,2022-05-09,22:09:37,Wendy Murphy,wmurphylaw,Boston,@lewebley1 @nytimes @POTUS Less 1% #Women need abortions year; 100% need equality neither party supports Women’s equality. Abortion ping-pong issue Women pissing money away unwinnable battle RATHER fighting #ERA would SECURE Roe forever! Why r Women dumb?
68,68,2022-05-09,22:07:15,Saltinx,bravearcanine,Boston,"I beg dweebs push ups learn patch wounds , send money abortion clinics , Learn instrument , take kick boxing class, volunteer services help needy, anything tweeting Jesus FUCK, I’m IRRITATED"
69,69,2022-05-09,22:04:23,MPF🏴‍☠️,onlineoperative,Boston,How instead making abortion illegal. We make racism illegal. Those parents deemed racist kids put adoption loving parents matter gender. You want stop racism. Stop letting racists raise kids. Period!
70,70,2022-05-09,21:55:01,44 69 65 74 65 72 20 53 63 68 75 6c 64 74,lesabot,Boston,"@NYPoliticalMom Some us able focus one thing time. The Dems going shit abortion access. Hopefully decide something student loans, I'm holding breath"
71,71,2022-05-09,21:48:07,⚘⛓LittleGirlLostExplores⛓⚘,littlevioletbel,Boston,@turbogrrl @suebeeak @B_Silverbow88 @jskilesskinner @cannafeminist And medical procedure done miscarriage stillbirth prevent infection/sepsis abortion procedure that's performed mass removed uterus.
72,72,2022-05-09,21:45:14,Joao Silva,joaomartinssilv,Boston,@YouGovAmerica More men women would vote based candidate's stance abortion.
73,73,2022-05-09,21:45:14,Lightwork Photo,lightworkphoto,Boston,"@GOPLeader Where bills universal prenatal care, universal health care, expanded SNAP, free day care, paid parental leave? You’re hot force births, let women die ectopic pregnancies, back alley abortions…."
74,74,2022-05-09,21:41:16,Fuerza 94.3Fm,fuerza943fm,Boston,Abortion protests: Security tightened around court justices https://t.co/IQmI47O3DX
75,75,2022-05-09,21:36:24,New England Traditionalist,newenglandtrad,Boston,"@CindyR4NH Cindy, offense, you’re like 80 years old. Why talking abortion kitchen table? Get life stop focused killing babies don’t much money you. Poor people babies. Humans build wealth. You know nothing econ."
76,76,2022-05-09,21:35:57,jaycoy.eth,jaycoyphoto,Boston,@_phall @AnnaHorford Your response literally point. YOUR beliefs deem abortion murder. HER beliefs not. That’s end discussion.
77,77,2022-05-09,21:34:46,Melanie Jean,princessmom122,Boston,"Republicans lying people, saying law county elective abortion nine years. We need strongly rebuke lie."
78,78,2022-05-09,21:28:14,Chris Branco,chrisbranco69,Boston,@kylegriffin1 It doesn’t matter SCOTUS does. The general government never delegated power regarding abortion. None. Therefore power retained States.
79,79,2022-05-09,21:27:22,Georgia Swann,georgia__swann,Boston,@MosesZD @PharaohSilver 100% this. The general public highly turned activist “scream abortion” “9 month abortion mental reasons” crowd.
80,80,2022-05-09,21:22:50,"Lady Jasmine, HRH",hrh_ladyj,Boston,"@Acyn WRONG! 23 States immediate trigger laws,.. AND PS: This abortion issue, This bodily autonomy issue.. You personally support abortion, FORCED one, that's difference. We NOT giving rights OWN bodies."
81,81,2022-05-09,21:22:32,Wendy Murphy,wmurphylaw,Boston,This abortion stuff nonsense. #SCOTUS overturn Roe bc Kavanaugh move side &amp; Women celebrate protests made happen-when whole thing set-up distract Women protesting @potus blocking #ERA https://t.co/BMwHlx6Riz
82,82,2022-05-09,21:21:07,𝕁𝕖𝕣𝕖𝕞𝕪 🌹,imjeremyfuckoff,Boston,"@CentristRevival @WheresMyArk_23 @mkraju @alizaslav I know, looks like Supreme Court bigger buffer zone abortion clinic https://t.co/sOLZwaVjJ3"
83,83,2022-05-09,21:17:28,𝔐𝔞𝔯𝔦♌︎🇹🇹🇯🇲,freshbbyle,Boston,@Katiemaybedid @tURNURhEAdNCOff @BinnySaidIt @asj519 Okay it’s choice get abortions PP.
84,84,2022-05-09,21:17:22,Lightwork Photo,lightworkphoto,Boston,"@Jim_Jordan The anti-abortion movement ASSASSINATED doctors. You’re record opposed peaceful political protest disagree with, favor violent attack nation’s capitol. Sounds pretty fascist me."
85,85,2022-05-09,21:16:33,Wendy Murphy,wmurphylaw,Boston,When ⁦@nytimes⁩ write story ⁦@POTUS⁩ blocking #ERA. ERA would prevent #SCOTUS overturning Roe NO media talking this. #Women #abortion https://t.co/vO4jmRkkKr https://t.co/BMwHlx6Riz
86,86,2022-05-09,21:13:15,Alan Dershowitz,alandersh,Boston,Abortion different gay interracial marriage. The Dershow Rumble Youtube. Listen Apple Spotify. Ask questions make comments. https://t.co/Nn0MIqS60Y
87,87,2022-05-09,21:09:50,Deborah #Vaxxed-n-Masked Donovan,deb_aura1,Boston,@jeff_blumenfeld @fameatlast @keithedwards Um... lack abortion access DOES force fatherhood.
88,88,2022-05-09,21:06:43,Lovehersports50,lovehersports50,Boston,@themaxburns @BrettSBaker @GOP Hateful old white man. Not worried. Women world easy access abortion.
89,89,2022-05-09,21:05:21,Elwood,elwood,Boston,"@idestroyed @xhelmsx @BradleyBoesel @JoJoFromJerz Hey I’m one making strained analogies baked goods human fetal development. If passes logic camp unrestricted abortion rights, I’m surprised you’re losing."
90,90,2022-05-09,21:04:21,whatever,pattyneal,Boston,"The conservative justices working overturn Roe also embodiment ruthless fifty-year political campaign. To re-enshrine abortion rights, Democrats need fight even harder."
91,91,2022-05-09,21:03:42,"Ellie Stillwell, PhD",eestillwell,Boston,"Please read entire thread, comment critical. When criminalize abortion, implicitly criminalize miscarriages. As common unavoidable know miscarriages many women, unacceptable. We better. #ProtectWomensRights"
92,92,2022-05-09,20:56:30,Brianna Wu,briannawu,Boston,"@brteacher You know currently happening, right? Some Catholic hospitals refuse treat women ectopic pregnancies consider abortion. But hey, you’re expert. I’m sure you’re really date latest reproductive health care news."
93,93,2022-05-09,20:52:17,Just another Dave,davidrsmith75,Boston,@GOPLeader More abortions=less need baby food. Stop problem starts. Think it.
94,94,2022-05-09,20:50:53,Haidis Salaami,jrick617,Boston,Just wait abortion laws backfire.
95,95,2022-05-09,20:32:11,Melanie Jean,princessmom122,Boston,You may never need abortion you’re losing privacy rights. Just FYI.
96,96,2022-05-09,20:28:42,grant 🏳️‍🌈,notsoniceville,Boston,@thehill @LeaderMcConnell It’s amazing bombing abortion clinics murdering doctors fine protesting outside mansion felony
97,97,2022-05-09,20:27:26,Steve Delfino,stevedelfino,Boston,"@meenageteenage @DellaSelva_AJ Tim Kaine anti-abortion. If thought chance passing, wouldn’t support it."
98,98,2022-05-09,20:25:49,Alyssa 🏳️‍⚧️,alyssagambone,Boston,"Human rights exist whether fascists say not. The right abortion right even Roe falls. Gender affirming health care right matter laws fascist pass. Human rights exist independent government - can't create rights, oppress them."
99,99,2022-05-09,20:24:56,S Mahoney 🕊🌻,smahoney01,Boston,#JusticeAlito #MatthewHale #Abortions #RoeVWade
100,100,2022-05-09,20:21:34,y-Katie🧣,_katiekins,Boston,"All people [[checks notes]] holding signs Kavanaugh’s house, *completely unsourced* rumor Alito’s family moved. They acted faster goddamn thing protect abortion access. Cool. COOL COOL COOL."
101,101,2022-05-09,20:19:51,EyesOfOwls,eyesofowls,Boston,@agraybee @evanbear20 @micahodor @mattyglesias evidence court wants ban abortion.
102,102,2022-05-09,20:19:25,Chipo Dendere,drdendere,Boston,Viola Davis wrote good raw book it’s easy road. I switching audio text. In light #RoeVWade I thought passage abortion powerful &amp; lays bare complexities involved. It’s hard. https://t.co/s13jlAjTUa
103,103,2022-05-09,20:15:47,Harry Klein,aitchklein,Boston,@LeaderMcConnell planning banning abortion nationally trying contraception allowing TFG stay power worse
104,104,2022-05-09,20:14:18,#NoNewWomensPrison #FreeMissAngie,erykahreina,Boston,#boycottCVS #ReproductiveRightsAreHumanRights Companies Like Amazon CVS Have Donated Millions Anti-Abortion Politicians https://t.co/AnFmbcVzdy via @truthout
105,105,2022-05-09,20:13:43,EyesOfOwls,eyesofowls,Boston,"@Kenny_loggsin @minguslives @c_man1127 @amyklobuchar that's called democracy, THEY want. If leftovers dont want it, move. Why california get dictate alabamas laws majority would support pro-life measures? And no, sad pathetic joke view abortion sacrament women."
106,106,2022-05-09,20:07:02,Paul MacKinnon,pdonutsmack,Boston,"@blanchardJRB @amyklobuchar Most enumerated powers delegated Congress Country Large listed Art. I, §8, clauses 1-16. “Abortion” listed among enumerated powers. Therefore, Congress power make laws abortion Country Large."
107,107,2022-05-09,20:05:13,EyesOfOwls,eyesofowls,Boston,"@Kenny_loggsin @minguslives @c_man1127 @amyklobuchar public support late term abortions. They support reasonable, early term abortions. States vary this, good thing leave states resolve. Women states also majority pro-life."
108,108,2022-05-09,20:03:22,Gregg Lebovitz (KD1MU),gregg_kd1mu,Boston,@PghRnnr @GailWaldby Where stand abortion issue?
109,109,2022-05-09,20:01:00,WBUR,wbur,Boston,"The White House saying country ""serious risk"" nationwide ban abortion two days Republican Senate Minority Leader Mitch McConnell said possible. https://t.co/ewE9b3lUas"
110,110,2022-05-09,19:59:28,EyesOfOwls,eyesofowls,Boston,"@kalo18 @amyklobuchar abortion basic right, matter much want be. If really want constitution, pass amendment. Otherwise accept getting way time."
111,111,2022-05-09,19:57:32,Alejandra Caraballo 🏳️‍⚧️🇵🇷,esqueer_,Boston,Republicans need pass nationwide ban abortion severely limit it. The next Republican president could simply revoke FDA authorization mifepristone misoprostol. They weaponize every lever power strip rights women.
112,112,2022-05-09,19:56:07,Summer Jayne,bensonfan711,Boston,@Lowceeblow @allyonthego @Hbomberguy Here’s thing - I recognize woman’s reason wanting abortion none fucking business. Now it’s turn. It’s hard. You don’t even get know one. Stop morality police. It’s job.
113,113,2022-05-09,19:54:42,kevin nguyen cosplayer 😘,tyffical,Boston,proud announce im longer pregnant ❤ imagine could everyone access safe abortions ❤ https://t.co/0gTB7h0Zy0
114,114,2022-05-09,19:44:19,𝕁𝕖𝕣𝕖𝕞𝕪 🌹,imjeremyfuckoff,Boston,@CentristRevival @WheresMyArk_23 @mkraju @alizaslav Women regularly harassed even assaulted walking abortion clinics Supreme Court mandated lack buffer zone
115,115,2022-05-09,19:39:56,Giuliano Taverna☭🇮🇹,giuliustabernus,Boston,"@yungz0rn fash incel shit, want able fucking slavic themed soviet tradwife babies say so. anti abortion activism controlling women, always been, one actually believes clump cells baby."
116,116,2022-05-09,19:39:47,The John Quincy Adams Project 🃏🦖🇭🇰🇫🇷,jqaproject,Boston,What? 1) Republicans win House 2) Republicans win Senate 3) Republicans win presidency 4) Make filibuster exception banning abortion 5) Ban abortion using Commerce Clause
117,117,2022-05-09,19:38:40,Lucid Dream 💭💗,_louloulemon,Boston,"nonbinarymanipulator: really gotta stop calling anti abortion people “pro life” like even ur aware bullshit term ur still somewhat reinforcing idea &amp; validating them. say anti abortion anti choice or, personal... https://t.co/hrnsUTXGUd"
118,118,2022-05-09,19:36:50,Mike Shea,mike_shea99,Boston,@__goodsalty @Brittan62381369 @TooLudicrous @DaveWhiskers @bostella Sure! After debunk abortion procedures say ‘don’t really happen’ yet tell performed instead. Then I’ll happy answer question.
119,119,2022-05-09,19:32:44,𝔐𝔞𝔯𝔦♌︎🇹🇹🇯🇲,freshbbyle,Boston,@Charlie4UVA @juicyyyjean @Drewkass86 @miraclemilann Didn’t say abortion listed statistic.
120,120,2022-05-09,19:31:42,Giuliano Taverna☭🇮🇹,giuliustabernus,Boston,"@yungz0rn I mean, they're going criminalize abortion nationwide, soon republicans come back power, almost certainly within next 2 4 years. I know much worse things could issue."
121,121,2022-05-09,19:29:21,Dana G.,trashbananas,Boston,"I IUD I can’t take bc pills anymore due medical condition. This bullshit, it’s never abortion. Only control."
122,122,2022-05-09,19:27:40,Bobbi León,bobbikillabee,Boston,Less 1% rapes lead felony conviction states criminalizing abortions don’t even put predators away. The system protect us CONTROL US #assaultsuvivor #prochoice #ProChoiceIsProLife #RoeVWade https://t.co/xuS7GOPflp
123,123,2022-05-09,19:26:08,Boston sports fanatic,bostons80113133,Boston,"We’re go back back ally coat hanger abortions, STD epidemics, birth control extinct USA mainland THANK GOD didn’t elect lady careless emails PHEW!! 😅😅"
124,124,2022-05-09,19:21:13,CreepyJoesNemesis,joescreepy,Boston,@Freedom1776ism @Parabellum2021 Yet Twatter blocked posting reality end result abortion is….they can’t handle REALITY MAGNITUDE abortion! https://t.co/72AvjsAoa8
125,125,2022-05-09,19:15:57,💥Mover Shaker- Mischief Maker,thetownie88,Boston,"STOP! Stop guising abortion ban behind religion. Its convenient door shove woman's rights through, slam shut, toss key. Do better."
126,126,2022-05-09,19:13:06,BostonGuy37 🇺🇸🇺🇦☘️🏒🥅🚨🥋,mattytars76,Boston,@PaulCogan So? Roberts vote ban abortion.
127,127,2022-05-09,19:11:27,Mike Shea,mike_shea99,Boston,"@__goodsalty @Brittan62381369 @TooLudicrous @DaveWhiskers @bostella No isn’t. At point I think trolling. You still don’t answer abortion procedures, little reasoning behind answers. Can least give examples think you’re right?"
128,128,2022-05-09,19:08:17,Mark Sheridan,mark_sheridan,Boston,"Wasn't abortion rights one thing allowed ""purity tests"" on?"
129,129,2022-05-09,19:07:49,Mike Shea,mike_shea99,Boston,@__goodsalty @Brittan62381369 @TooLudicrous @DaveWhiskers @bostella I went already. Rape illegal. As be. It regulates man can’t penis. It’s illegal it’s evil. Abortion also evil &amp; also illegal.
130,130,2022-05-09,19:07:35,Susan Wilson ‘We Are the Messengers’🇺🇸💙,stevesgirl56,Boston,"@frankthorp @igorbobic Good. It help protect abortion rights someone Supreme Court Justice’s family gets hurt worse. Remember Right projects intentions - capable infiltrating protest, causing injury, blaming Left. Be smart."
131,131,2022-05-09,19:05:48,Globe Politics,globepolitical,Boston,"GOP lawmakers recast abortion stance, wary voter backlash https://t.co/fzz76pJrlF"
132,132,2022-05-09,19:05:16,PSL Boston,bostonpsl,Boston,"attacks both, need solidarity fight women’s trans liberation! Join us tomorrow, 5/10 6pm Boston Liberation Center (194 Blue Hill Ave) study past future fight abortion rights. (2/2) https://t.co/RvxgrjSwnO"
133,133,2022-05-09,19:04:07,PSL Boston,bostonpsl,Boston,"“Healthcare human right, means free universal. Hormones healthcare. Gender-affirming surgeries healthcare. Abortions healthcare!” PSL organizer Mandy speaks connections abortion rights trans rights, (1/2) https://t.co/v5WosqC4pF"
134,134,2022-05-09,19:01:55,Mike Shea,mike_shea99,Boston,"@__goodsalty @Brittan62381369 @TooLudicrous @DaveWhiskers @bostella You can’t even debunk abortion procedures u still here? You also kill someone accidentally car accident, flu much like Covid. If you’re vaxxed I threat 2 u? If decide baby nobody killed, u abort u killed purposely"
